menu_item_id,pizza_name,category,size,unit_price,ingredients
hawaiian_m,The Hawaiian Pizza,Classic,M,13.25,"Sliced Ham, Pineapple, Mozzarella Cheese"
classic_dlx_m,The Classic Deluxe Pizza,Classic,M,16.0,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
five_cheese_l,The Five Cheese Pizza,Veggie,L,18.5,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
ital_supr_l,The Italian Supreme Pizza,Supreme,L,20.75,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
mexicana_m,The Mexicana Pizza,Veggie,M,16.0,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
thai_ckn_l,The Thai Chicken Pizza,Chicken,L,20.75,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
ital_supr_m,The Italian Supreme Pizza,Supreme,M,16.5,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
prsc_argla_l,The Prosciutto and Arugula Pizza,Supreme,L,20.75,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
bbq_ckn_s,The Barbecue Chicken Pizza,Chicken,S,12.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
the_greek_s,The Greek Pizza,Classic,S,12.0,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
spinach_supr_s,The Spinach Supreme Pizza,Supreme,S,12.5,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
classic_dlx_s,The Classic Deluxe Pizza,Classic,S,12.0,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
green_garden_s,The Green Garden Pizza,Veggie,S,12.0,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
ital_cpcllo_l,The Italian Capocollo Pizza,Classic,L,20.5,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
ital_supr_s,The Italian Supreme Pizza,Supreme,S,12.5,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
mexicana_s,The Mexicana Pizza,Veggie,S,12.0,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
spicy_ital_l,The Spicy Italian Pizza,Supreme,L,20.75,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
spin_pesto_l,The Spinach Pesto Pizza,Veggie,L,20.75,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
veggie_veg_s,The Vegetables + Vegetables Pizza,Veggie,S,12.0,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
mexicana_l,The Mexicana Pizza,Veggie,L,20.25,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
southw_ckn_l,The Southwest Chicken Pizza,Chicken,L,20.75,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
bbq_ckn_l,The Barbecue Chicken Pizza,Chicken,L,20.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
cali_ckn_l,The California Chicken Pizza,Chicken,L,20.75,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
cali_ckn_m,The California Chicken Pizza,Chicken,M,16.75,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
pepperoni_l,The Pepperoni Pizza,Classic,L,15.25,"Mozzarella Cheese, Pepperoni"
cali_ckn_s,The California Chicken Pizza,Chicken,S,12.75,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
ckn_pesto_l,The Chicken Pesto Pizza,Chicken,L,20.75,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
big_meat_s,The Big Meat Pizza,Classic,S,12.0,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
soppressata_l,The Soppressata Pizza,Supreme,L,20.75,"SoppressataSalami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
four_cheese_l,The Four Cheese Pizza,Veggie,L,17.95,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
napolitana_s,The Napolitana Pizza,Classic,S,12.0,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
